end_station_name,end_lat,end_lng
53 St & 4 Ave,40.644862,-74.014531
Congress St & Clinton St,40.68825516598005,-73.99545192718506
Webster Ave & Ford St,40.85556,-73.89615
39 Dr & 52 St,40.74732,-73.91197
Monroe St & Patchen Ave,40.68814,-73.92693
E 169 St & Webster Ave,40.834015,-73.908863
University Ave & W Burnside Ave,40.85501,-73.910751
Madison St & Clinton St,40.71269042,-73.98776323
46 St & 7 Ave,40.644743,-74.003754
Borden Ave & Review Ave,40.73866345465306,-73.94093804061413
Albemarle Rd & McDonald Ave,40.645074,-73.979681
Putnam Ave & Wyckoff Ave,40.69811,-73.90904
Shore Blvd & Astoria Park,40.77977,-73.923162
Queens Blvd & 56 St,40.74193,-73.90913
48 St & 2 Ave,40.650176,-74.015606
E 81 St & York Ave,40.7728384,-73.94989233
2 Ave & E 72 St,40.7687620293096,-73.95840793848038
E 77 St & 3 Ave,40.77314236,-73.95856158
Bailey Ave & W 193 St,40.87069,-73.90678
41 St & 3 Ave,40.652512,-74.008906
Columbia St & Kane St,40.68763155,-74.0016256
Butler St & Court St,40.6849894,-73.99440329
E 11 St & Avenue B,40.72746420692392,-73.97950418293476
Columbia St & W 9 St,40.6769993,-74.00647134
Morris Ave & E 142 St,40.814469,-73.924963
Madison Ave & E 99 St,40.78948541553215,-73.95242929458618
E 48 St & 5 Ave,40.75724567911726,-73.97805914282799
59 St & 4 Ave,40.641269,-74.017651
Frederick Douglass Blvd & W 145 St,40.823061,-73.941928
Grand Concourse & E 156 St,40.823429,-73.924689
Crescent St & Broadway,40.7633589,-73.9286471
E 170 St & Clay Ave,40.837213,-73.908345
Madison St & Seneca Ave,40.70183,-73.90625
Audobon Ave & W 179 St,40.847305,-73.933291
Paul Ave & W 205 St,40.87704,-73.88943
Melrose Ave & E 154 St,40.819609,-73.916071
20 Ave & 31 St,40.78001336610564,-73.90667617321014
52 St & 1 Ave,40.649292,-74.020105
Broadway & E 19 St,40.73866091428551,-73.98987293243407
Pike St & E Broadway,40.71406667,-73.99293911
W 13 St & 5 Ave,40.735445,-73.99431
E 2 St & 2 Ave,40.72502876,-73.99069656
Lexington Ave & E 36 St,40.7475739589548,-73.9788007736206
E Houston St & Columbia St,40.71978635452822,-73.97871628403664
6 Ave & Canal St,40.72243797,-74.00566443
Warren St & W Broadway,40.71473993,-74.00910627
Ashland Pl & Dekalb Ave,40.690065,-73.978776
Monroe St & Marcus Garvey Blvd,40.686722,-73.938988
Greenwich St & Perry St,40.73498,-74.00697
Henry St & Atlantic Ave,40.69089272,-73.99612349
Rockaway Ave & Bainbridge St,40.68319988172761,-73.91166642308235
4 Ave & 9 St,40.6705135,-73.98876585
Warren St & Court St,40.686371,-73.99383324
River Ave & McClellan St,40.83406,-73.92243
E 138 St & Grand Concourse,40.813224,-73.930605
Marin Light Rail,40.71458403535893,-74.04281705617905
46 St & 25 Ave,40.765753,-73.90676
Van Buren St & Broadway,40.692,-73.92617
Audubon Ave & Fort George Ave,40.85715781391904,-73.92717361450195
55 St & 7 Ave,40.639673,-74.008957
Stephen St & Seneca Ave,40.6988,-73.9007
35 St & Broadway,40.760339,-73.9222427
Steinway St & Broadway,40.75905795418586,-73.91897544264793
Graham Ave & Conselyea St,40.715143,-73.944507
W 40 St & 5 Ave,40.752269,-73.982079
West End Ave & W 94 St,40.7941654,-73.974124
Icahn Stadium,40.79346,-73.92389
Madison Av & E 51 St,40.75863,-73.97513
Carroll St & 5 Ave,40.6751622,-73.9814832
Irving Ave & Jefferson St,40.70538,-73.92535
Bushwick Ave & Stagg St,40.709897,-73.94008
7 St & 5 Ave,40.6704922,-73.98541675
Verona Pl & Fulton St,40.6803560840434,-73.9476791024208
35 Ave & 37 St,40.7557327,-73.9236611
Frederick Douglass Blvd & W 139 St,40.81900581806558,-73.94476890563965
Harman St & Seneca Ave,40.70577,-73.91292
Malcolm X Blvd & DeKalb Ave,40.6938,-73.93114
16th St & 4th Ave,40.666197,-73.992466
University Ave & Macombs Rd,40.8496401,-73.9161206
Amsterdam Ave & W 119 St,40.80863217506367,-73.95958609887202
Tiebout Ave & E 184 St,40.858498,-73.89637
Picnic Point,40.68512559515415,-74.02535319328308
Willoughby Ave & Onderdonk Ave,40.7098,-73.91727
Central Ave & Melrose St,40.70112,-73.93039
Lorimer St & Broadway,40.70411791,-73.94818595
44 St & Greenpoint Ave,40.741119944681465,-73.92103672027588
4 Ave & 17 St,40.665507,-73.993037
E 20 St & 2 Ave,40.73587678,-73.98205027
Gansevoort St & Hudson St,40.73944820130404,-74.00507032871246
FDR Drive & E 35 St,40.744219,-73.97121214
Nostrand Ave & Myrtle Ave,40.69527008,-73.95238108
49 St & 31 Ave,40.758057,-73.909831
College Ave & E 170 St,40.837576,-73.910489
Lexington Ave & E 128 St,40.806414,-73.936085
76 St & 21 Ave,40.77028,-73.893675
3 Ave & Wakeman Pl,40.638246,-74.024714
6 Ave & 55 St,40.640831,-74.010996
Featherbed Ln & Jerome Ave,40.845505,-73.914311
Bedford Ave & Nassau Ave,40.72311651,-73.95212324
31 St & Ditmars Blvd,40.776168,-73.910485
46 St & 28 Ave,40.763328,-73.908782
E 13 St & 2 Ave,40.73153937464073,-73.9853024482727
Lexington Ave & E 24 St,40.74025878,-73.98409214
Melrose Ave & E 150 St,40.816827,-73.917338
Washington Park,40.6917823,-73.9737299
West End Ave & W 60 St,40.77237,-73.99005
48 Ave & 5 St,40.74436328706688,-73.9558732509613
Kent St & McGuinness Blvd,40.73124,-73.95161
Fulton Ave & E 172 St,40.839229,-73.899047
Bainbridge Ave & E 193 St,40.86389,-73.89246
29 St & 5 Ave,40.656986,-73.998194
Willoughby Ave & Myrtle Ave,40.69757,-73.93098
E Tremont Ave & E 176 St,40.847798,-73.901883
E 106 St & 1 Ave,40.7892529,-73.93956237
E 141 St & St Ann's Ave,40.808633,-73.916124
31 St & Northern Blvd,40.75186951421875,-73.93349289894103
Concourse Village West & E 156 St,40.823162,-73.923267
Waterbury St & Stagg St,40.71019,-73.93734
Vernon Blvd & 31 Ave,40.7692475,-73.9354504
Ditmars Blvd & 73 St,40.76817,-73.896293
43 Ave & 40 St,40.74562,-73.92402
Knickerbocker Ave & Halsey St,40.693,-73.90824
Seneca Ave & Irvine St,40.81872569990116,-73.88862490653992
Creston Ave & E 178 St,40.850885,-73.906469
E 20 St & Park Ave,40.73827428,-73.98751968
St Nicholas Ave & Manhattan Ave,40.809725,-73.953149
Lenox Ave & W 111 St,40.7987859,-73.9523
58 St & 2 Ave,40.644512,-74.021506
37 Ave & 63 St,40.74893,-73.89981
E Mosholu Pkwy & E 204 St,40.8740704,-73.8833650931
Decatur Ave & Oliver Pl,40.867,-73.8857764
Concord St & Bridge St,40.69766564,-73.98476437
3 Ave & E 169 St,40.832678,-73.905158
Suffolk St & Stanton St,40.72066442,-73.98517977
Murray St & Greenwich St,40.71485150526252,-74.01122331619263
W 43 St & 10 Ave,40.76009437,-73.99461843
W 26 St & 10 Ave,40.749717753,-74.002950346
Aqueduct Ave & North St,40.8604787,-73.9057169936
Central Park West & W 76 St,40.77896784,-73.97374737
W 95 St & Broadway,40.7937704,-73.971888
Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328
E 44 St & 2 Ave,40.75118387463277,-73.97138714790344
Bradley Ave & Greenpoint Ave,40.73565914819229,-73.93478840589523
Anthony Ave & E Tremont Ave,40.848793,-73.903178
Carroll St & Washington Ave,40.6686744,-73.9618148
Louis Nine Blvd & Intervale Ave,40.831998,-73.892686
34 St & 38 Ave,40.752443,-73.929737
Lenox Ave & W 146 St,40.821111,-73.935971
Newtown Ave & 23 St,40.7713615,-73.9246145
Union St & Bedford Ave,40.6691783,-73.9554162
6 Ave & 12 St,40.6663181,-73.9854617
W 50 St & 10 Ave,40.76473420006519,-73.99194359779358
Crotona Park East & E 173 St,40.837037,-73.890413
3 Ave & E 170 St,40.834857,-73.903743
Macombs Pl & W 152 St,40.826406,-73.937948
Greene Ave & Grandview Ave,40.709697,-73.907856
8 St & Astoria Blvd,40.7725996921817,-73.93266275525093
