start_station_name,start_lat,start_lng
Lincoln Pl & Classon Ave,40.6721683,-73.9609
E 84 St & Park Ave,40.77862688,-73.95772073
12 Ave & W 40 St,40.76087502,-74.00277668
11 Ave & Prospect Ave,40.65629,-73.977335
Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116
21 St & Queens Plaza North,40.75331533,-73.943554282
Morris Ave & E 163 St,40.827180028,-73.917720199
Riverside Dr & W 145 St,40.827300906,-73.951978207
Schermerhorn St & Hoyt St,40.688735127,-73.985372543
E 149 St & Morris Ave,40.817348599,-73.923003197
Amsterdam Ave & W 73 St,40.779474854,-73.981234193
Willis Ave & E 141 St,40.81093,-73.921606
1 Ave & E 44 St,40.749646664,-73.969290257
N 12 St & Bedford Ave,40.72079821,-73.95484712
Monroe St & Tompkins Ave,40.686183214,-73.944718361
S 4 St & Wythe Ave,40.71285887,-73.96590294
46 St & 30 Rd,40.760677934,-73.911055207
8 Ave & W 49 St,40.76171227910671,-73.98655101656914
Wyckoff Av & Jefferson St,40.707165,-73.923711
Bank St & Washington St,40.736110687,-74.008725166
48 St & Broadway,40.755763,-73.912715
Green St & McGuinness Blvd,40.73396,-73.95204
Liberty St & Broadway,40.70905623,-74.01043382
Metropolitan Ave & Meeker Ave,40.71413311,-73.95234386
3 Ave & E 163 St,40.823872,-73.908699
Union Ave & Wallabout St,40.70029511,-73.95032283
Powers St & Olive St,40.71323,-73.93894
Washington St & Laight St,40.72231,-74.0106
7 Ave & Park Pl,40.6776147,-73.97324283
E 85 St & 3 Ave,40.778024673,-73.954335332
Grand St & Samuel Dickstein Plaza,40.71511871996496,-73.98417055606842
9 Ave & W 18 St,40.74317449,-74.00366443
W 64 St & Thelonious Monk Circle,40.77515953434235,-73.98918695747852
W 18 St & 6 Ave,40.73971301,-73.99456405
W 120 St & Claremont Ave,40.8109494,-73.9634
W 42 St & 6 Ave,40.755216479,-73.984683275
McGuinness Blvd & Eagle St,40.73555,-73.95284
8 Ave & W 52 St,40.76370739,-73.9851615
Union Ave & N 12 St,40.71924,-73.95242
E 138 St & Willow Ave,40.804248095,-73.911671519
E 4 St & 2 Ave,40.726231933,-73.989626884
Kent Ave & N 7 St,40.72051239,-73.961530566
Pacific St & Nevins St,40.6853761,-73.98302136
Lexington Ave & E 26 St,40.741459,-73.983293
West End Ave & W 78 St,40.783786,-73.981687
2 Ave & E 31 St,40.74290902,-73.97706058
30 Ave & 47 St,40.761323929,-73.909582853
1 St & 6 Ave,40.672784,-73.979826
Fulton St & William St,40.709750652,-74.006515622
5 St & Market St,40.6999974843885,-73.97440128028393
W 110 St & Amsterdam Ave,40.802692,-73.96295
Central Ave & Starr Street,40.700003,-73.92834
W 35 St & Dyer Ave,40.754691750226016,-73.99740189313889
Flushing Ave & Vanderbilt Ave,40.69795031569544,-73.97077560424805
Devoe St & Morgan Ave,40.713811,-73.93515
West Drive & Prospect Park West,40.6610633719006,-73.97945255041122
Carroll St & Columbia St,40.6830456,-74.00348559
E 48 St & 3 Ave,40.7546011026,-73.971878855
E 39 St & Lexington Ave,40.749354005,-73.976911783
E 20 St & FDR Dr,40.733208626522426,-73.9756813647
Lafayette St & E 8 St,40.73020660529954,-73.99102628231049
1 Ave & E 6 St,40.72633085971696,-73.98616880178452
6 Ave & W 45 St,40.756951,-73.982631
Market St & Henry St,40.71310702305908,-73.99446353316307
Riverside Dr & W 82 St,40.78720869,-73.98128127
